,시간,계정명,당기금액
카카오,2020-12-31,비유동자산,"6,987,396,305,870"
카카오,2020-12-31,자산총계,"11,953,970,238,956"
카카오,2020-12-31,유동부채,"2,929,590,461,315"
카카오,2020-12-31,비유동부채,"1,166,097,939,840"
카카오,2020-12-31,부채총계,"4,526,241,211,441"
카카오,2020-12-31,자본금,"44,300,999,000"
카카오,2020-12-31,이익잉여금,"316,324,859,524"
카카오,2020-12-31,자본총계,"7,427,729,027,515"
카카오,2020-12-31,영업이익,"455,855,515,211"
카카오,2020-12-31,법인세차감전 순이익,"414,271,425,061"
카카오,2020-12-31,당기순이익,"173,359,671,915"
카카오,2020-12-31,유동자산,"1,782,401,903,517"
카카오,2020-12-31,비유동자산,"5,563,104,581,267"
카카오,2020-12-31,자산총계,"7,345,506,484,784"
카카오,2020-12-31,유동부채,"1,421,581,282,550"
카카오,2020-12-31,비유동부채,"598,480,116,822"
카카오,2020-12-31,부채총계,"2,020,061,399,372"
카카오,2020-12-31,자본금,"44,300,999,000"
카카오,2020-12-31,이익잉여금,"209,149,712,500"
카카오,2020-12-31,자본총계,"5,325,445,085,412"
현대차,2020-03-31,유동자산,"76,223,367,000,000"
현대차,2020-03-31,비유동자산,"122,627,482,000,000"
현대차,2020-03-31,자산총계,"198,850,849,000,000"
현대차,2020-03-31,유동부채,"54,206,672,000,000"
현대차,2020-03-31,비유동부채,"68,717,561,000,000"
현대차,2020-03-31,부채총계,"122,924,233,000,000"
현대차,2020-03-31,자본금,"1,488,993,000,000"
현대차,2020-03-31,이익잉여금,"67,900,357,000,000"
현대차,2020-03-31,자본총계,"75,926,616,000,000"
현대차,2020-03-31,매출액,"25,319,448,000,000"
현대차,2020-03-31,법인세차감전 순이익,"724,268,000,000"
현대차,2020-03-31,유동자산,"20,840,752,000,000"
현대차,2020-03-31,비유동자산,"52,605,608,000,000"
현대차,2020-03-31,자산총계,"73,446,360,000,000"
현대차,2020-03-31,유동부채,"15,409,856,000,000"
현대차,2020-03-31,비유동부채,"4,860,296,000,000"
현대차,2020-03-31,부채총계,"20,270,152,000,000"
현대차,2020-03-31,자본금,"1,488,993,000,000"
현대차,2020-03-31,이익잉여금,"49,694,208,000,000"
현대차,2020-03-31,자본총계,"53,176,208,000,000"
현대차,2020-06-30,유동자산,"79,025,897,000,000"
현대차,2020-06-30,비유동자산,"122,778,623,000,000"
현대차,2020-06-30,자산총계,"201,804,520,000,000"
현대차,2020-06-30,유동부채,"54,213,858,000,000"
현대차,2020-06-30,비유동부채,"71,542,527,000,000"
현대차,2020-06-30,부채총계,"125,756,385,000,000"
현대차,2020-06-30,자본금,"1,488,993,000,000"
현대차,2020-06-30,이익잉여금,"68,114,066,000,000"
현대차,2020-06-30,자본총계,"76,048,135,000,000"
현대차,2020-06-30,매출액,"21,858,991,000,000"
현대차,2020-06-30,법인세차감전 순이익,"596,266,000,000"
현대차,2020-06-30,유동자산,"21,464,025,000,000"
현대차,2020-06-30,비유동자산,"53,002,258,000,000"
현대차,2020-06-30,자산총계,"74,466,283,000,000"
현대차,2020-06-30,유동부채,"14,648,064,000,000"
현대차,2020-06-30,비유동부채,"6,046,491,000,000"
현대차,2020-06-30,부채총계,"20,694,555,000,000"
현대차,2020-06-30,자본금,"1,488,993,000,000"
현대차,2020-06-30,이익잉여금,"50,171,398,000,000"
현대차,2020-06-30,자본총계,"53,771,728,000,000"
현대차,2020-09-30,유동자산,"81,868,709,000,000"
현대차,2020-09-30,비유동자산,"125,227,530,000,000"
현대차,2020-09-30,자산총계,"207,096,239,000,000"
현대차,2020-09-30,유동부채,"57,820,469,000,000"
현대차,2020-09-30,비유동부채,"73,425,666,000,000"
현대차,2020-09-30,부채총계,"131,246,135,000,000"
현대차,2020-09-30,자본금,"1,488,993,000,000"
현대차,2020-09-30,이익잉여금,"67,787,240,000,000"
현대차,2020-09-30,자본총계,"75,850,104,000,000"
현대차,2020-09-30,매출액,"27,575,812,000,000"
현대차,2020-09-30,영업이익,"-313,823,000,000"
현대차,2020-09-30,법인세차감전 순이익,"-362,301,000,000"
현대차,2020-09-30,유동자산,"22,969,659,000,000"
